Progress,Duration (in seconds),Finished,TA_ID,S1,S2,S3,S4,S5,S6,S7,Eng,I1,I2,I3,I4,I5,I6,I7,inst,C1,C2,C3,C4,C5,course,St_Year,St_Gender,Gender_3_TEXT,St_Race,Race_9_TEXT,Race_7_TEXT,Int'l,first_gen
100,498,1,6,6,5,6,5,4,5,5,5.142857143,6,5,5,5,5,5,5,5.142857143,5,6,5,4,5,5,2,0,,2,,,0,2
100,475,1,32,4,5,5,5,4,6,6,5,6,5,5,5,5,5,5,5.142857143,5,5,5,5,5,5,1,0,,2,,,0,2
100,134,1,82,5,5,5,5,5,6,6,5.285714286,6,5,5,5,5,5,5,5.142857143,5,5,5,5,5,5,1,0,,2,,,0,2
100,630,1,82,5,5,6,5,5,6,5,5.285714286,6,5,5,5,5,5,5,5.142857143,5,5,5,5,5,5,1,0,,2,,,1,2
100,420,1,56,3,4,5,6,5,5,6,4.857142857,6,5,5,5,5,5,5,5.142857143,5,5,5,5,5,5,1,0,,2,,,0,2
100,252,1,22,5,6,5,5,5,5,5,5.142857143,6,5,5,5,5,5,5,5.142857143,5,5,5,5,5,5,1,0,,2,,,0,2
100,394,1,40,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5.142857143,5,5,5,5,5,5,2,0,,2,,,1,2
100,214,1,12,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5.142857143,5,5,5,5,5,5,1,0,,2,,,0,2
100,324,1,69,5,5,5,6,6,6,6,5.571428571,6,5,5,5,,5,5,5.166666667,5,5,5,5,5,5,1,0,,2,,,0,2
100,311,1,36,5,5,5,5,5,5,5,5,6,5,5,5,,5,5,5.166666667,5,5,5,5,5,5,2,0,,2,,,0,2
100,348,1,21,,,5,5,5,5,5,5,6,5,5,5,,,5,5.2,5,5,5,,5,5,1,0,,2,,,0,2
100,248,1,68,5,5,5,5,5,5,5,5,6,6,5,5,5,5,5,5.285714286,5,5,5,5,5,5,2,0,,2,,,0,2
100,285,1,6,5,5,5,5,6,4,4,4.857142857,6,5,5,5,4,6,6,5.285714286,5,4,5,6,5,5,2,0,,2,,,0,2
100,154,1,66,5,6,6,5,4,6,6,5.428571429,6,4,5,6,6,5,5,5.285714286,5,5,5,5,5,5,2,0,,2,,,0,2
100,403,1,65,6,5,5,5,5,5,5,5.142857143,5,5,5,5,5,6,6,5.285714286,5,5,5,5,5,5,1,0,,2,,,0,1
100,410,1,34,5,5,5,5,5,5,6,5.142857143,6,5,5,6,5,5,5,5.285714286,5,5,5,5,5,5,2,0,,2,,,0,2
100,186,1,69,6,5,5,5,5,5,5,5.142857143,6,5,5,5,,6,5,5.333333333,5,5,5,5,5,5,1,0,,2,,,0,2
100,211,1,50,2,4,6,5,5,5,5,4.571428571,5,5,5,6,5,6,6,5.428571429,5,5,5,5,5,5,1,0,,2,,,0,2
100,170,1,1,4,5,5,5,5,5,5,4.857142857,6,5,5,5,6,5,6,5.428571429,5,5,5,5,5,5,1,0,,2,,,0,2
100,130,1,68,5,5,5,5,5,5,5,5,6,6,6,6,5,5,5,5.571428571,5,5,5,5,5,5,4,0,,2,,,0,2
100,149,1,49,5,5,6,6,6,5,5,5.428571429,6,5,5,6,6,5,6,5.571428571,6,5,4,5,5,5,1,0,,2,,,0,2
